ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
912	Arara	HORN (ANATOMY)	rego	rego	r e g o	r e g o	313		
913	Bakairi	HORN (ANATOMY)	wə̃ẽkɨ	wə̃ẽkɨ	w ə̃ ẽ k ɨ	w ə̃ ẽ k ɨ	311		
914	Hixkaryána	HORN (ANATOMY)	hanajaʃɨ	hanajaʃɨ	h a n a j a ʃ ɨ	h a n a j a ʃ ɨ	307		
915	Ikpeng	HORN (ANATOMY)	iwomtam	iwomtam	i w o m t a m	i w o m t a m	308		
916	Kari'ña	HORN (ANATOMY)	remetɨ	remetɨ	r e m e t ɨ	- r e m e t - ɨ	306		
917	Karijona	HORN (ANATOMY)	ikat͡ʃori	ikat͡ʃori	i k a t͡ʃ o r i	i k a t͡ʃ o r i	314		
918	Kuikuro	HORN (ANATOMY)	ɣikɨɣɨ	ɣikɨɣɨ	ɣ i k ɨ ɣ ɨ	ɣ i k ɨ ɣ ɨ	310		
919	Macushi	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
920	Mapoyo	HORN (ANATOMY)	reʔti	reʔti	r e ʔ t i	- r e ʔ - t - i	306		
921	Panare	HORN (ANATOMY)	panasɨkɨn	panasɨkɨn	p a n a s ɨ k ɨ n	p a n a s ɨ k ɨ n	315		
922	Pemón	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
923	Tiriyó	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
924	Waimiri-Atroari	HORN (ANATOMY)	miteʔe	miteʔe	m i t e ʔ e	m i t e ʔ e	309		
925	Waiwai	HORN (ANATOMY)	ɸanaʃɨ	ɸanaʃɨ	ɸ a n a ʃ ɨ	ɸ a n - - a ʃ ɨ	307		
926	Wayana	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
927	Werikyana	HORN (ANATOMY)	aret	aret	a r e t	a r - - e t - -	306		
928	Yawarana	HORN (ANATOMY)	retɨ	retɨ	r e t ɨ	- r - - e t - ɨ	306		
929	Ye'kwana	HORN (ANATOMY)	reetai	reetai	r e e t a i	- r e - e t a i	306		
930	Yukpa	HORN (ANATOMY)	jɨtowata	jɨtowata	j ɨ t o w a t a	j ɨ t o w a t a	312		
931	Akawaio	HOT	aʔ-neʔ	aʔneʔ	a ʔ n e ʔ	- a ʔ - - n e ʔ -	316		
932	Apalaí	HOT	jetu	jetu	j e t u	j e - t - - - - u	316		
933	Arara	HOT	otpe	otpe	o t p e	o t p e	318		
934	Bakairi	HOT	tədəpige	tədəpige	t ə d ə p i g e	t ə d ə p i g e	320		
935	Hixkaryána	HOT	t-ak-ɲe	takɲe	t a k ɲ e	t a k - - ɲ e - -	316		
936	Ikpeng	HOT	ɨrɨp	ɨrɨp	ɨ r ɨ p	ɨ r ɨ p	319		
937	Ingarikó	HOT	aʔ-neʔ	aʔneʔ	a ʔ n e ʔ	- a ʔ - - n e ʔ -	316		
938	Kari'ña	HOT	asin pe	asin pe	a s i n + p e	a s i n + p e	322		
939	Karijona	HOT	atusaka	atusaka	a t u s a k a	- a - t u s a k a	316		
940	Kuikuro	HOT	atuŋu	atuŋu	a t u ŋ u	- a - t u ŋ u - -	316		
941	Macushi	HOT	aʔ-neʔ	aʔneʔ	a ʔ n e ʔ	- a ʔ - - n e ʔ -	316		
942	Mapoyo	HOT	t-aʔtu-ne	taʔtune	t a ʔ t u n e	t a ʔ t u n e - -	316		
943	Panare	HOT	(ka)t-apəh-tə	tapəhtə	t a p ə h t ə	t a p ə h t ə	323		
944	Pemón	HOT	aʔ-nek	aʔnek	a ʔ n e k	- a ʔ - - n e k -	316		
945	Tiriyó	HOT	atuma	atuma	a t u m a	- a - t u m - - a	316		
946	Waimiri-Atroari	HOT	etɨpa	etɨpa	e t ɨ p a	e t ɨ p a	325		
947	Waiwai	HOT	ot͡ʃoro	ot͡ʃoro	o t͡ʃ o r o	o t͡ʃ o r o	317		
948	Wayana	HOT	ahiphakə	ahiphakə	a h i p h a k ə	a h i p h a k ə	321		
949	Werikyana	HOT	t-aʔ-ne	taʔne	t a ʔ n e	t a ʔ - - n e - -	316		
950	Yawarana	HOT	t-attu-ne	tattune	t a t t u n e	t a t t u n e - -	316		
951	Ye'kwana	HOT	t-aʔ-ne	taʔne	t a ʔ n e	t a ʔ - - n e - -	316		
952	Yukpa	HOT	t-emeʃ-ne	temeʃne	t e m e ʃ n e	t e m e ʃ n e	324		
953	Akawaio	I	urə	urə	u r ə	- u - r ə	326		
954	Akuriyó	I	wɨ	wɨ	w ɨ	w ɨ - - -	326		
955	Apalaí	I	ɨwɨ	ɨwɨ	ɨ w ɨ	- ɨ - w ɨ	326		
956	Arara	I	uro	uro	u r o	- u - r o	326		
957	Bakairi	I	urə	urə	u r ə	- u - r ə	326		
958	Hixkaryána	I	uro	uro	u r o	- u - r o	326		
959	Ikpeng	I	uro	uro	u r o	- u - r o	326		
960	Ingarikó	I	urə	urə	u r ə	- u - r ə	326		
961	Kari'ña	I	awu	awu	a w u	- a - w u	326		
962	Karijona	I	əwɨ	əwɨ	ə w ɨ	- ə - w ɨ	326		
963	Kuikuro	I	uɣe	uɣe	u ɣ e	- u - ɣ e	326		
964	Macushi	I	uurɨ	uurɨ	u u r ɨ	- u u r ɨ	326		
965	Mapoyo	I	wɨhɨ	wɨhɨ	w ɨ h ɨ	w ɨ - h ɨ	326		
966	Panare	I	ju	ju	j u	j u - - -	326		
967	Pemón	I	juurə	juurə	j u u r ə	j u u r ə	326		
968	Tamanaku	I	ure	ure	u r e	- u - r e	326		
969	Tiriyó	I	wɨ	wɨ	w ɨ	w ɨ - - -	326		
970	Waimiri-Atroari	I	awɨ	awɨ	a w ɨ	- a - w ɨ	326		
971	Waiwai	I	owɨ	owɨ	o w ɨ	- o - w ɨ	326		
972	Wayana	I	ɨwu	ɨwu	ɨ w u	- ɨ - w u	326		
973	Werikyana	I	owɨ	owɨ	o w ɨ	- o - w ɨ	326		
974	Yawarana	I	wɨrə	wɨrə	w ɨ r ə	w ɨ - r ə	326		
975	Ye'kwana	I	ewɨ	ewɨ	e w ɨ	- e - w ɨ	326		
976	Yukpa	I	awɨ	awɨ	a w ɨ	- a - w ɨ	326		
977	Akawaio	KILL	wənə	wənə	w ə n ə	w ə n ə	328		
978	Apalaí	KILL	eataka	eataka	e a t a k a	e a t a k a	330		
979	Arara	KILL	wo	wo	w o	w - - o	328		
980	Arara	KILL	ereŋmɨ	ereŋmɨ	e r e ŋ m ɨ	e r e ŋ m ɨ	329		
981	Bakairi	KILL	ɨə	ɨə	ɨ ə	- ɨ - ə	328		
982	Hixkaryána	KILL	wajehɨka	wajehɨka	w a j e h ɨ k a	- w a j e h ɨ k a	327		
983	Ikpeng	KILL	wo	wo	w o	w - - o	328		
984	Ikpeng	KILL	erenmɨ	erenmɨ	e r e n m ɨ	e r e n m ɨ	329		
985	Ingarikó	KILL	wənə	wənə	w ə n ə	w ə n ə	328		
986	Kari'ña	KILL	wo	wo	w o	w - - o	328		
987	Karijona	KILL	ihɨnəhɨ	ihɨnəhɨ	i h ɨ n ə h ɨ	i h ɨ n ə h ɨ	336		
988	Kuikuro	KILL	e	e	e	- - - e	328		
989	Macushi	KILL	wɨɨ	wɨɨ	w ɨ ɨ	w ɨ - ɨ	328		
990	Mapoyo	KILL	wawə	wawə	w a w ə	w a w ə	328		
991	Panare	KILL	ama	ama	a m a	a m a	333		
992	Pemón	KILL	wə	wə	w ə	w - - ə	328		
993	Tamanaku	KILL	wo	wo	w o	w - - o	328		
994	Tiriyó	KILL	wa rɨ	wa rɨ	w a + r ɨ	w a + r ɨ	331		
995	Waimiri-Atroari	KILL	wu	wu	w u	w - - u	328		
996	Waiwai	KILL	wajhka	wajhka	w a j h k a	- w a j - h - k a	327		
997	Wayana	KILL	(u)wə	wə	w ə	w - - ə	328		
998	Wayana	KILL	erɨku	erɨku	e r ɨ k u	e r ɨ k u	334		
999	Werikyana	KILL	awajihka	awajihka	a w a j i h k a	a w a j i h - k a	327		
1000	Yawarana	KILL	jawa; jənkama	jawa	j a w a	j a - - - w a	337		
1001	Yawarana	KILL	jawa; jənkama	jənkama	j ə n k a m a	j ə n k a m a	337		
1002	Ye'kwana	KILL	ema	ema	e m a	e m a	335		
1003	Yukpa	KILL	et͡ʃoka	et͡ʃoka	e t͡ʃ o k a	e t͡ʃ o k a	332		
1004	Akawaio	KNEE	eseʔmu	eseʔmu	e s e ʔ m u	e - s e ʔ - m - - u	338		
1005	Akuriyó	KNEE	ereʔnaa	ereʔnaa	e r e ʔ n a a	- e r e ʔ - n a a	339		
1006	Apalaí	KNEE	sekumu	sekumu	s e k u m u	- - s e k u m - - u	338		
1007	Arara	KNEE	edegum	edegum	e d e g u m	e - d e g u m - - -	338		
1008	Bakairi	KNEE	ezẽũru	ezẽũru	e z ẽ ũ r u	- - - e z ẽ - ũ r u	338		
1009	Hixkaryána	KNEE	esokna	esokna	e s o k n a	e - s o k - n - - a	338		
1010	Ikpeng	KNEE	pjagumi	pjagumi	p j a g u m i	p j a g u m i	341		
1011	Ingarikó	KNEE	eseʔmu	eseʔmu	e s e ʔ m u	e - s e ʔ - m - - u	338		
1012	Kari'ña	KNEE	okuna	okuna	o k u n a	- - - o k u n - - a	338		
1013	Karijona	KNEE	esena	esena	e s e n a	e s e n a	340		
1014	Kuikuro	KNEE	iɣipaŋa	iɣipaŋa	i ɣ i p a ŋ a	i ɣ i p a ŋ a	343		
1015	Macushi	KNEE	eʔsemu	eʔsemu	e ʔ s e m u	e ʔ s e - - m - - u	338		
1016	Mapoyo	KNEE	pore	pore	p o r e	p o r e	345		
1017	Panare	KNEE	t͡ʃeʔmu	t͡ʃeʔmu	t͡ʃ e ʔ m u	- - t͡ʃ e ʔ - m - - u	338		
1018	Pemón	KNEE	esemu	esemu	e s e m u	e - s e - - m - - u	338		
1019	Tamanaku	KNEE	et͡ʃekimu	et͡ʃekimu	e t͡ʃ e k i m u	e - t͡ʃ e k i m - - u	338		
1020	Tiriyó	KNEE	wereena	wereena	w e r e e n a	w e r e - e n - a	339		
1021	Waimiri-Atroari	KNEE	ɨse dɨkrɨ	ɨse dɨkrɨ	ɨ s e + d ɨ k r ɨ	ɨ s e + d ɨ k r ɨ	342		
1022	Waiwai	KNEE	osokmu	osokmu	o s o k m u	o - s o k - m - - u	338		
1023	Wayana	KNEE	əhehmu	əhehmu	ə h e h m u	ə - h e h - m - - u	338		
1024	Werikyana	KNEE	sokmu	sokmu	s o k m u	- - s o k - m - - u	338		
1025	Yawarana	KNEE	t͡ʃikimura	t͡ʃikimura	t͡ʃ i k i m u r a	- - t͡ʃ i k i m u r a	338		
1026	Ye'kwana	KNEE	əəʔmu	əəʔmu	ə ə ʔ m u	ə - - ə ʔ - m - - u	338		
1027	Yukpa	KNEE	emekre	emekre	e m e k r e	e m e k r e	344		
1028	Akawaio	KNOW (SOMETHING)	iʔtu	iʔtu	i ʔ t u	- - - - i ʔ t - - - u	346		
1029	Akuriyó	KNOW (SOMETHING)	warə	warə	w a r ə	- w a - r ə	347		
1030	Apalaí	KNOW (SOMETHING)	uaro	uaro	u a r o	- - u a r o	347		
1031	Arara	KNOW (SOMETHING)	eŋguam	eŋguam	e ŋ g u a m	e ŋ g u a m	351		
1032	Bakairi	KNOW (SOMETHING)	utu	utu	u t u	- - - - u - t - - - u	346		
1033	Hixkaryána	KNOW (SOMETHING)	hutwa	hutwa	h u t w a	- - h - u - t - - w a	346		
1034	Ikpeng	KNOW (SOMETHING)	orempan	orempan	o r e m p a n	o r e m p a n	350		
1035	Ingarikó	KNOW (SOMETHING)	iʔtu	iʔtu	i ʔ t u	- - - - i ʔ t - - - u	346		
1036	Kari'ña	KNOW (SOMETHING)	ukutɨ	ukutɨ	u k u t ɨ	u k u t ɨ	353		
1037	Karijona	KNOW (SOMETHING)	iwarə	iwarə	i w a r ə	i w - a r ə	347		
1038	Kuikuro	KNOW (SOMETHING)	uhu	uhu	u h u	- - - - u h - - - - u	346		
1039	Macushi	KNOW (SOMETHING)	epuʔtɨ	epuʔtɨ	e p u ʔ t ɨ	- e - p u ʔ t - - - ɨ	346		
1040	Mapoyo	KNOW (SOMETHING)	wahputu	wahputu	w a h p u t u	w a h p u - t - - - u	346		
1041	Panare	KNOW (SOMETHING)	int͡ʃa	int͡ʃa	i n t͡ʃ a	i n t͡ʃ a	349		
1042	Pemón	KNOW (SOMETHING)	putu	putu	p u t u	- - - p u - t - - - u	346		
1043	Tamanaku	KNOW (SOMETHING)	putu	putu	p u t u	- - - p u - t - - - u	346		
1044	Tiriyó	KNOW (SOMETHING)	waarə	waarə	w a a r ə	- w a a r ə	347		
1045	Waimiri-Atroari	KNOW (SOMETHING)	pɨ	pɨ	p ɨ	- - - p ɨ - - - - - -	346		
1046	Waiwai	KNOW (SOMETHING)	htɨnoh	htɨnoh	h t ɨ n o h	h t ɨ n o h	352		
1047	Wayana	KNOW (SOMETHING)	potnəpɨ	potnəpɨ	p o t n ə p ɨ	- - - p o - t n ə p ɨ	346		
1048	Werikyana	KNOW (SOMETHING)	onwo	onwo	o n w o	o n w o	354		
1049	Yawarana	KNOW (SOMETHING)	erianpatawa	erianpatawa	e r i a n p a t a w a	e r i a n p a t a w a	355		
1050	Ye'kwana	KNOW (SOMETHING)	owano-kə	owanokə	o w a n o k ə	o w a n o k ə	348		
1051	Yukpa	KNOW (SOMETHING)	wano	wano	w a n o	- w a n - - o	348		
1052	Akawaio	LEAF	eta	eta	e t a	e - t - - - - a	357		
1053	Akuriyó	LEAF	arɨ	arɨ	a r ɨ	- - - - a r - - ɨ	356		
1054	Apalaí	LEAF	zarɨ	zarɨ	z a r ɨ	- - - z a r - - ɨ	356		
1055	Arara	LEAF	arɨ	arɨ	a r ɨ	- - - - a r - - ɨ	356		
1056	Bakairi	LEAF	arɨ	arɨ	a r ɨ	- - - - a r - - ɨ	356		
1057	Hixkaryána	LEAF	arɨ	arɨ	a r ɨ	- - - - a r - - ɨ	356		
1058	Ikpeng	LEAF	ampon	ampon	a m p o n	a m p o n	358		
1059	Ingarikó	LEAF	ajan	ajan	a j a n	a j a n	359		
1060	Kari'ña	LEAF	arɨ	arɨ	a r ɨ	- - - - a r - - ɨ	356		
1061	Karijona	LEAF	wewarɨ	wewarɨ	w e w a r ɨ	w e - w a r - - ɨ	356		
1062	Kuikuro	LEAF	aɣɨ	aɣɨ	a ɣ ɨ	- - - - a ɣ - - ɨ	356		
1063	Macushi	LEAF	jare	jare	j a r e	- - - j a r - - e	356		
1064	Mapoyo	LEAF	jaari	jaari	j a a r i	j a - - a r - - i	356		
1065	Panare	LEAF	tjan	tjan	t j a n	- - t j a n - - -	356		
1066	Pemón	LEAF	jare	jare	j a r e	- - - j a r - - e	356		
1067	Tamanaku	LEAF	are	are	a r e	- - - - a r - - e	356		
1068	Tiriyó	LEAF	arɨ	arɨ	a r ɨ	- - - - a r - - ɨ	356		
1069	Waimiri-Atroari	LEAF	ja	ja	j a	- - - j a - - - -	356		
1070	Waiwai	LEAF	jaarɨ	jaarɨ	j a a r ɨ	j a - - a r - - ɨ	356		
1071	Wayana	LEAF	are	are	a r e	- - - - a r - - e	356		
1072	Werikyana	LEAF	ahesɨ	ahesɨ	a h e s ɨ	a h e s ɨ	360		
1073	Yawarana	LEAF	ettareri	ettareri	e t t a r e r i	- e t t a r e r i	356		
1074	Yawarana	LEAF	ettareri	ettareri	e t t a r e r i	e t t a r e r i	357		
1075	Ye'kwana	LEAF	jarɨ	jarɨ	j a r ɨ	- - - j a r - - ɨ	356		
1076	Yukpa	LEAF	wet͡ʃare	wet͡ʃare	w e t͡ʃ a r e	w e - t͡ʃ a r - - e	356		
1077	Akawaio	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1078	Akuriyó	LIVER	əre	əre	ə r e	- ə - r e - - - -	361		
1079	Apalaí	LIVER	ore; ere	ere	e r e	- e - r e - - - -	361		
1080	Apalaí	LIVER	ore; ere	ore	o r e	- o - r e - - - -	361		
1081	Arara	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1082	Bakairi	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1083	Hixkaryána	LIVER	erʲe	erʲe	e rʲ e	- e - rʲ e - - - -	361		
1084	Ikpeng	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1085	Kari'ña	LIVER	ore	ore	o r e	- o - r e - - - -	361		
1086	Karijona	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1087	Kuikuro	LIVER	tilu	tilu	t i l u	t i - l u - - - -	361		
1088	Macushi	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1089	Mapoyo	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1090	Panare	LIVER	inkeɲ	inkeɲ	i n k e ɲ	- i n k e ɲ - - -	361		
1091	Pemón	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1092	Tamanaku	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1093	Tiriyó	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1094	Waimiri-Atroari	LIVER	are ba	are ba	a r e + b a	- a - r e - + b a	361		
1095	Waiwai	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1096	Wayana	LIVER	əre	əre	ə r e	- ə - r e - - - -	361		
1097	Werikyana	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1098	Yawarana	LIVER	ere	ere	e r e	- e - r e - - - -	361		
1099	Ye'kwana	LIVER	t͡ʃəəre	t͡ʃəəre	t͡ʃ ə ə r e	t͡ʃ ə ə r e - - - -	361		
1100	Yukpa	LIVER	ore	ore	o r e	- o - r e - - - -	361		
1101	Akawaio	LONG	kusan	kusan	k u s a n	k u s a n	364		
1102	Akuriyó	LONG	mɨʔa	mɨʔa	m ɨ ʔ a	m ɨ ʔ a	363		
1103	Apalaí	LONG	mosa	mosa	m o s a	m o s a	367		
1104	Arara	LONG	ibak	ibak	i b a k	i b a k -	362		
1105	Bakairi	LONG	iməsedo	iməsedo	i m ə s e d o	i m ə s e d o	365		
1106	Hixkaryána	LONG	kawo	kawo	k a w o	- k a w o	362		
1107	Ikpeng	LONG	ɨkap	ɨkap	ɨ k a p	ɨ k a p -	362		
1108	Ingarikó	LONG	akəreke	akəreke	a k ə r e k e	a k ə r e k e	370		
1109	Kari'ña	LONG	masiʔ-pe	masiʔpe	m a s i ʔ p e	m a s i ʔ p e	368		
1110	Karijona	LONG	mɨha	mɨha	m ɨ h a	m ɨ h a	363		
1111	Kuikuro	LONG	t-ami-t͡si	tamit͡si	t a m i t͡s i	t a m i t͡s i	376		
1112	Macushi	LONG	kusan	kusan	k u s a n	k u s a n	364		
1113	Mapoyo	LONG	t-areʔ-ke	tareʔke	t a r e ʔ k e	t a r e ʔ k e	375		
1114	Panare	LONG	t-ankət͡ʃi-ke	tankət͡ʃike	t a n k ə t͡ʃ i k e	t a n k ə t͡ʃ i k e	373		
1115	Pemón	LONG	nosan	nosan	n o s a n	n o s a n	371		
1116	Tiriyó	LONG	ma(a)	ma	m a	m - - a	363		
1117	Waimiri-Atroari	LONG	mie	mie	m i e	m i e	378		
1118	Waiwai	LONG	kaw	kaw	k a w	- k a w -	362		
1119	Wayana	LONG	kupi-me	kupime	k u p i m e	k u p i m e	366		
1120	Werikyana	LONG	mut͡ʃani	mut͡ʃani	m u t͡ʃ a n i	m u t͡ʃ a n i	372		
1121	Yawarana	LONG	teihpono	teihpono	t e i h p o n o	t e i h p o n o	374		
1122	Ye'kwana	LONG	nuwe	nuwe	n u w e	n u w e	369		
1123	Yukpa	LONG	mesene	mesene	m e s e n e	m e s e n e	377		
1124	Akawaio	LOUSE	ajan	ajan	a j a n	a j a n -	379		
1125	Apalaí	LOUSE	azamo	azamo	a z a m o	a z a m o	379		
1126	Arara	LOUSE	amɨ	amɨ	a m ɨ	- - a m ɨ	379		
1127	Bakairi	LOUSE	emɨ	emɨ	e m ɨ	- - e m ɨ	379		
1128	Hixkaryána	LOUSE	ajamo	ajamo	a j a m o	a j a m o	379		
1129	Ikpeng	LOUSE	ajam	ajam	a j a m	a j a m -	379		
1130	Ingarikó	LOUSE	aran	aran	a r a n	a r a n -	379		
1131	Kari'ña	LOUSE	omɨ	omɨ	o m ɨ	- - o m ɨ	379		
1132	Karijona	LOUSE	jamə	jamə	j a m ə	- j a m ə	379		
1133	Kuikuro	LOUSE	ãĩ	ãĩ	ã ĩ	- - ã - ĩ	379		
1134	Macushi	LOUSE	ajan	ajan	a j a n	a j a n -	379		
1135	Mapoyo	LOUSE	kaamɨ	kaamɨ	k a a m ɨ	k a - a m ɨ	380		
1136	Panare	LOUSE	ajamə	ajamə	a j a m ə	a j a m ə	379		
1137	Pemón	LOUSE	ajan	ajan	a j a n	a j a n -	379		
1138	Tiriyó	LOUSE	jamɨ	jamɨ	j a m ɨ	- j a m ɨ	379		
1139	Waimiri-Atroari	LOUSE	wɨmɨ	wɨmɨ	w ɨ m ɨ	- w ɨ m ɨ	379		
1140	Waiwai	LOUSE	ojomo	ojomo	o j o m o	o j o m o	379		
1141	Wayana	LOUSE	əjamo	əjamo	ə j a m o	ə j a m o	379		
1142	Werikyana	LOUSE	jomɨ	jomɨ	j o m ɨ	- j o m ɨ	379		
1143	Yawarana	LOUSE	kajamə	kajamə	k a j a m ə	k a j a m ə	380		
1144	Ye'kwana	LOUSE	ramə	ramə	r a m ə	- r a m ə	379		
1145	Yukpa	LOUSE	waja	waja	w a j a	- w a j a	379		
1146	Akawaio	MAN	warawoʔ	warawoʔ	w a r a w o ʔ	w a r a w o ʔ - -	383		
1147	Akuriyó	MAN	kɨrɨ	kɨrɨ	k ɨ r ɨ	- - k ɨ r ɨ	381		
1148	Apalaí	MAN	orutua	orutua	o r u t u a	o r u t u a	385		
1149	Arara	MAN	ugon	ugon	u g o n	u g - o n -	382		
1150	Bakairi	MAN	uguõdo	uguõdo	u g u õ d o	u g u õ d o	382		
1151	Hixkaryána	MAN	kɨrɨ	kɨrɨ	k ɨ r ɨ	- - k ɨ r ɨ	381		
1152	Ikpeng	MAN	ugwon	ugwon	u g w o n	u g w o n -	382		
1153	Ingarikó	MAN	warawoʔ	warawoʔ	w a r a w o ʔ	w a r a w o ʔ - -	383		
1154	Kari'ña	MAN	wokɨrɨ	wokɨrɨ	w o k ɨ r ɨ	w o k ɨ r ɨ	381		
1155	Karijona	MAN	gɨrɨ	gɨrɨ	g ɨ r ɨ	- - g ɨ r ɨ	381		
1156	Kuikuro	MAN	(i)toto	toto	t o t o	t o t o	384		
1157	Macushi	MAN	warajoʔ	warajoʔ	w a r a j o ʔ	w a r a j o ʔ - -	383		
1158	Mapoyo	MAN	warastə	warastə	w a r a s t ə	w a r a - - s t ə	383		
1159	Panare	MAN	apoh	apoh	a p o h	a p o h	387		
1160	Pemón	MAN	kurai	kurai	k u r a i	k u r a i	389		
1161	Tamanaku	MAN	aparike	aparike	a p a r i k e	a p a r i k e	388		
1162	Tiriyó	MAN	kɨrɨ	kɨrɨ	k ɨ r ɨ	- - k ɨ r ɨ	381		
1163	Waimiri-Atroari	MAN	wɨkɨrɨ	wɨkɨrɨ	w ɨ k ɨ r ɨ	w ɨ k ɨ r ɨ	381		
1164	Waiwai	MAN	kɨrɨ	kɨrɨ	k ɨ r ɨ	- - k ɨ r ɨ	381		
1165	Wayana	MAN	eruwa	eruwa	e r u w a	e r u w - a	385		
1166	Werikyana	MAN	toto	toto	t o t o	t o t o	384		
1167	Yawarana	MAN	waraisto	waraisto	w a r a i s t o	w a r a - i s t o	383		
1168	Ye'kwana	MAN	janwaa	janwaa	j a n w a a	j a n w a a	386		
1169	Yukpa	MAN	kɨpa	kɨpa	k ɨ p a	- - k ɨ p a	381		
1170	Akawaio	MANY	tuʔke	tuʔke	t u ʔ k e	t u ʔ k e	390		
1171	Apalaí	MANY	tuʔke	tuʔke	t u ʔ k e	t u ʔ k e	390		
1172	Arara	MANY	taje	taje	t a j e	t a j e	396		
1173	Bakairi	MANY	tõẽzepa	tõẽzepa	t õ ẽ z e p a	t õ ẽ z e p a	398		
1174	Hixkaryána	MANY	jake	jake	j a k e	j a k e	394		
1175	Ikpeng	MANY	itɨn	itɨn	i t ɨ n	i t ɨ n	397		
1176	Ingarikó	MANY	tuʔke	tuʔke	t u ʔ k e	t u ʔ k e	390		
1177	Kari'ña	MANY	pɨime	pɨime	p ɨ i m e	p ɨ i m e	401		
1178	Karijona	MANY	isanumake	isanumake	i s a n u m a k e	i s a n u m a k e	400		
1179	Kuikuro	MANY	kakɨŋi	kakɨŋi	k a k ɨ ŋ i	k a k ɨ ŋ i	404		
1180	Macushi	MANY	tuʔke	tuʔke	t u ʔ k e	t u ʔ k e	390		
1181	Mapoyo	MANY	əəpe	əəpe	ə ə p e	ə ə p e	392		
1182	Panare	MANY	kura; kure	kura	k u r a	k u r a	391		
1183	Panare	MANY	kura; kure	kure	k u r e	k u r e	391		
1184	Pemón	MANY	tuʔke	tuʔke	t u ʔ k e	t u ʔ k e	390		
1185	Tamanaku	MANY	tane	tane	t a n e	t a n e	402		
1186	Tiriyó	MANY	ijeta	ijeta	i j e t a	i j e t a	399		
1187	Waimiri-Atroari	MANY	waha	waha	w a h a	w a h a	405		
1188	Waiwai	MANY	merʲɸora	merʲɸora	m e rʲ ɸ o r a	m e rʲ ɸ o r a	395		
1189	Wayana	MANY	kore	kore	k o r e	k o r e	391		
1190	Werikyana	MANY	immo	immo	i m m o	i m m o	393		
1191	Yawarana	MANY	juumpe	juumpe	j u u m p e	j u u m p e	403		
1192	Ye'kwana	MANY	oohe	oohe	o o h e	o o h e	392		
1193	Yukpa	MANY	ape	ape	a p e	a - p e	392		
1194	Akawaio	MOON	kapɨi	kapɨi	k a p ɨ i	k a p ɨ i	407		
1195	Akuriyó	MOON	waawa	waawa	w a a w a	w a a w a	410		
1196	Apalaí	MOON	nuno	nuno	n u n o	n u - n - - o	406		
1197	Arara	MOON	nuno	nuno	n u n o	n u - n - - o	406		
1198	Bakairi	MOON	nunə	nunə	n u n ə	n u - n - - ə	406		
1199	Hixkaryána	MOON	nuno	nuno	n u n o	n u - n - - o	406		
1200	Ikpeng	MOON	nuno	nuno	n u n o	n u - n - - o	406		
1201	Ingarikó	MOON	kapəi	kapəi	k a p ə i	k a p ə i	407		
1202	Kari'ña	MOON	nuno	nuno	n u n o	n u - n - - o	406		
1203	Karijona	MOON	nuna	nuna	n u n a	n u - n - - a	406		
1204	Kuikuro	MOON	ŋune	ŋune	ŋ u n e	ŋ u - n - - e	406		
1205	Macushi	MOON	kapoi	kapoi	k a p o i	k a p o i	407		
1206	Mapoyo	MOON	nuunə	nuunə	n u u n ə	n u u n - - ə	406		
1207	Panare	MOON	wəənə	wəənə	w ə ə n ə	w ə ə n ə	409		
1208	Pemón	MOON	kapɨi	kapɨi	k a p ɨ i	k a p ɨ i	407		
1209	Tamanaku	MOON	nuna	nuna	n u n a	n u - n - - a	406		
1210	Tiriyó	MOON	nunnə	nunnə	n u n n ə	n u - n - n ə	406		
1211	Waimiri-Atroari	MOON	nenuwe	nenuwe	n e n u w e	n e - n u w e	406		
1212	Waiwai	MOON	nuuɲi	nuuɲi	n u u ɲ i	n u u ɲ - - i	406		
1213	Wayana	MOON	nunuwə	nunuwə	n u n u w ə	n u - n u w ə	406		
1214	Werikyana	MOON	imno	imno	i m n o	i m n o	411		
1215	Yawarana	MOON	nunə	nunə	n u n ə	n u - n - - ə	406		
1216	Ye'kwana	MOON	nuunə	nuunə	n u u n ə	n u u n - - ə	406		
1217	Yukpa	MOON	kunu	kunu	k u n u	k u n u	408		
